회사명,거래소코드,회계년도,판매비와관리비(영업비용)(*)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원)
(주)경동인베스트,012320,2005/12,49772850,
(주)경동인베스트,012320,2006/12,51830384,
(주)경동인베스트,012320,2007/12,53506737,53506737
(주)경동인베스트,012320,2008/12,56282209,56282209
(주)경동인베스트,012320,2009/12,60218810,60218810
(주)경동인베스트,012320,2010/12,60451486,51831654
(주)경동인베스트,012320,2011/12,54876510,54876510
(주)경동인베스트,012320,2012/12,59575728,59575728
(주)경동인베스트,012320,2013/12,64435388,64435388
(주)경동인베스트,012320,2014/12,67714190,67714190
(주)경동인베스트,012320,2015/12,70357549,70357549
(주)경동인베스트,012320,2016/12,73040855,73040855
(주)경동인베스트,012320,2017/12,2869295,2869295
(주)경동인베스트,012320,2018/12,3987138,3987138
(주)경동인베스트,012320,2019/12,4807448,4807448
(주)경동인베스트,012320,2020/12,4636649,4636649
(주)경방,000050,1981/12,2939748,
(주)경방,000050,1982/12,3097849,
(주)경방,000050,1983/12,3736887,
(주)경방,000050,1984/12,4307107,
(주)경방,000050,1985/12,4322024,
(주)경방,000050,1986/12,5532711,
(주)경방,000050,1987/12,5704848,
(주)경방,000050,1988/12,6412633,
(주)경방,000050,1989/12,8354005,
(주)경방,000050,1990/12,7278786,
(주)경방,000050,1991/12,7879702,
(주)경방,000050,1992/12,8185765,
(주)경방,000050,1993/12,8549235,
(주)경방,000050,1994/12,10947853,
(주)경방,000050,1995/12,14685479,
(주)경방,000050,1996/12,15736906,
(주)경방,000050,1997/12,16195928,
(주)경방,000050,1998/12,20500968,
(주)경방,000050,1999/12,21425919,
(주)경방,000050,2000/12,16032108,
(주)경방,000050,2001/12,13663399,
(주)경방,000050,2002/12,15355316,
(주)경방,000050,2003/12,15696580,
(주)경방,000050,2004/12,16417807,
(주)경방,000050,2005/12,12476242,
(주)경방,000050,2006/12,13036069,
(주)경방,000050,2007/12,14626424,14626424
(주)경방,000050,2008/12,8338406,8338406
(주)경방,000050,2009/12,14828759,14828759
(주)경방,000050,2010/12,7156383,7277952
(주)경방,000050,2011/12,6758633,6758633
(주)경방,000050,2012/12,6568491,6568491
(주)경방,000050,2013/12,5461080,5461080
(주)경방,000050,2014/12,15816417,15816417
(주)경방,000050,2015/12,59647194,59647194
(주)경방,000050,2016/12,61204284,61204284
(주)경방,000050,2017/12,60320796,60320796
(주)경방,000050,2018/12,62297979,62297979
(주)경방,000050,2019/12,63022915,63022915
(주)경방,000050,2020/12,70775739,70775739
(주)경보제약,214390,1999/12,2477091,
(주)경보제약,214390,2000/12,2635711,
(주)경보제약,214390,2001/12,2958934,
(주)경보제약,214390,2002/12,3100388,
(주)경보제약,214390,2003/12,1920800,
(주)경보제약,214390,2004/12,2177473,
(주)경보제약,214390,2005/12,3633335,
(주)경보제약,214390,2006/12,5045753,
(주)경보제약,214390,2007/12,7547134,
(주)경보제약,214390,2008/12,11460242,
(주)경보제약,214390,2009/12,18462149,
(주)경보제약,214390,2010/12,21917759,
(주)경보제약,214390,2011/12,21701180,
(주)경보제약,214390,2012/12,24181078,
(주)경보제약,214390,2013/12,26122494,24607198
(주)경보제약,214390,2014/12,22136802,22136802
(주)경보제약,214390,2015/12,22924910,22924910
(주)경보제약,214390,2016/12,28509177,28509177
(주)경보제약,214390,2017/12,30036042,30036042
(주)경보제약,214390,2018/12,31994604,31994604
(주)경보제약,214390,2019/12,34522080,34522080
(주)경보제약,214390,2020/12,43803308,43803308
(주)경인양행,012610,1985/12,,
(주)경인양행,012610,1986/12,,
(주)경인양행,012610,1987/12,1267644,
(주)경인양행,012610,1988/12,1446058,
(주)경인양행,012610,1989/12,1616111,
(주)경인양행,012610,1990/12,2078505,
