회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원),매출액(수익)(*)(IFRS)(천원)
(주)SNT홀딩스,036530,2007/12,157275739,157275739
(주)SNT홀딩스,036530,2008/12,33063002,33063002
(주)SNT홀딩스,036530,2009/12,31728688,31728688
(주)SNT홀딩스,036530,2010/12,34929629,2068556
(주)SNT홀딩스,036530,2011/12,2257851,2257851
(주)SNT홀딩스,036530,2012/12,8718270,8718270
(주)SNT홀딩스,036530,2013/12,8826810,8826810
(주)SNT홀딩스,036530,2014/12,7701882,7701882
(주)SNT홀딩스,036530,2015/12,8475099,8475099
(주)SNT홀딩스,036530,2016/12,9818190,9818190
(주)SNT홀딩스,036530,2017/12,7417869,7417869
(주)SNT홀딩스,036530,2018/12,7292112,7292112
(주)SNT홀딩스,036530,2019/12,11015928,11015928
(주)SNT홀딩스,036530,2020/12,25309708,25309708
(주)STX,011810,1985/12,58369760,
(주)STX,011810,1986/12,101041150,
(주)STX,011810,1987/12,112857469,
(주)STX,011810,1988/12,140364572,
(주)STX,011810,1989/12,153363269,
(주)STX,011810,1990/12,186659155,
(주)STX,011810,1991/12,201352605,
(주)STX,011810,1992/12,213437141,
(주)STX,011810,1993/12,212192310,
(주)STX,011810,1994/12,269979452,
(주)STX,011810,1995/12,322517378,
(주)STX,011810,1996/12,350302740,
(주)STX,011810,1997/12,405632043,
(주)STX,011810,1998/12,279044480,
(주)STX,011810,1999/12,276187622,
(주)STX,011810,2000/12,260514071,
(주)STX,011810,2001/12,303662102,
(주)STX,011810,2002/12,376071165,
(주)STX,011810,2003/12,466601980,
(주)STX,011810,2004/12,330528799,
(주)STX,011810,2005/12,658625389,
(주)STX,011810,2006/12,943306093,
(주)STX,011810,2007/12,1255199274,1255199274
(주)STX,011810,2008/12,2418949621,2418949621
(주)STX,011810,2009/12,2225676108,2225676108
(주)STX,011810,2010/12,3242433891,3191730000
(주)STX,011810,2011/12,4173397000,4173397000
(주)STX,011810,2012/12,4116767000,4116767000
(주)STX,011810,2013/12,1895063000,1895063000
(주)STX,011810,2014/12,1291351000,1291351000
(주)STX,011810,2015/12,1362127000,1362127000
(주)STX,011810,2016/12,1465561000,1465561000
(주)STX,011810,2017/12,1595494000,1595494000
(주)STX,011810,2018/12,1329890000,1329890000
(주)STX,011810,2019/12,1237876000,1237876000
(주)STX,011810,2020/12,788462000,788462000
(주)TCC스틸,002710,1985/03,48952087,
(주)TCC스틸,002710,1986/03,47182573,
(주)TCC스틸,002710,1987/03,61650848,
(주)TCC스틸,002710,1988/03,72548581,
(주)TCC스틸,002710,1989/03,75909729,
(주)TCC스틸,002710,1990/12,90903644,
(주)TCC스틸,002710,1991/12,101456370,
(주)TCC스틸,002710,1992/12,91202411,
(주)TCC스틸,002710,1993/12,93983887,
(주)TCC스틸,002710,1994/12,110736256,
(주)TCC스틸,002710,1995/12,116434226,
(주)TCC스틸,002710,1996/12,144137885,
(주)TCC스틸,002710,1997/12,132249274,
(주)TCC스틸,002710,1998/12,163629158,
(주)TCC스틸,002710,1999/12,181440732,
(주)TCC스틸,002710,2000/12,196206208,
(주)TCC스틸,002710,2001/12,188822363,
(주)TCC스틸,002710,2002/12,199352686,
(주)TCC스틸,002710,2003/12,218280676,
(주)TCC스틸,002710,2004/12,260425068,
(주)TCC스틸,002710,2005/12,269098614,
(주)TCC스틸,002710,2006/12,253676783,
(주)TCC스틸,002710,2007/12,267844422,267844422
(주)TCC스틸,002710,2008/12,407634270,407634270
(주)TCC스틸,002710,2009/12,342201139,342201139
(주)TCC스틸,002710,2010/12,412110088,412110088
(주)TCC스틸,002710,2011/12,456928069,456928069
(주)TCC스틸,002710,2012/12,440568155,440568155
(주)TCC스틸,002710,2013/12,419483813,419483813
(주)TCC스틸,002710,2014/12,401323585,401323585
(주)TCC스틸,002710,2015/12,350074629,350074629
(주)TCC스틸,002710,2016/12,317235565,317235565
(주)TCC스틸,002710,2017/12,333762378,333762378
(주)TCC스틸,002710,2018/12,351301866,351301866
(주)TCC스틸,002710,2019/12,339334364,339334364
(주)TCC스틸,002710,2020/12,323435107,323435107
(주)강원랜드,035250,2000/12,90950943,
(주)강원랜드,035250,2001/12,462019837,
(주)강원랜드,035250,2002/12,476061165,
(주)강원랜드,035250,2003/12,677131541,
(주)강원랜드,035250,2004/12,764113464,
(주)강원랜드,035250,2005/12,846961875,
