회사명,거래소코드,회계년도,보통주자본금(천원),보통주자본금(IFRS)(천원)
(주)광주신세계,037710,2008/12,8000000,8000000
(주)광주신세계,037710,2009/12,8000000,8000000
(주)광주신세계,037710,2010/12,8000000,8000000
(주)광주신세계,037710,2011/12,8000000,8000000
(주)광주신세계,037710,2012/12,8000000,8000000
(주)광주신세계,037710,2013/12,8000000,8000000
(주)광주신세계,037710,2014/12,8000000,8000000
(주)광주신세계,037710,2015/12,8000000,8000000
(주)광주신세계,037710,2016/12,8000000,8000000
(주)광주신세계,037710,2017/12,8000000,8000000
(주)광주신세계,037710,2018/12,8000000,8000000
(주)광주신세계,037710,2019/12,8000000,8000000
(주)광주신세계,037710,2020/12,8000000,8000000
(주)국동,005320,1989/12,250000,
(주)국동,005320,1990/12,3634000,
(주)국동,005320,1991/12,3634000,
(주)국동,005320,1992/12,3634000,
(주)국동,005320,1993/12,3634000,
(주)국동,005320,1994/12,3634000,
(주)국동,005320,1995/12,3634000,
(주)국동,005320,1996/12,6000000,
(주)국동,005320,1997/12,6000000,
