회사명,거래소코드,회계년도,이연법인세부채(천원),이연법인세부채(IFRS)(천원)
(주)STX,011810,1993/12,0,
(주)STX,011810,1994/12,0,
(주)STX,011810,1995/12,0,
(주)STX,011810,1996/12,0,
(주)STX,011810,1997/12,0,
(주)STX,011810,1998/12,0,
(주)STX,011810,1999/12,0,
(주)STX,011810,2000/12,0,
(주)STX,011810,2001/12,0,
(주)STX,011810,2002/12,0,
(주)STX,011810,2003/12,0,
(주)STX,011810,2004/12,0,
(주)STX,011810,2005/12,0,
(주)STX,011810,2006/12,0,
(주)STX,011810,2007/12,0,52365367
(주)STX,011810,2008/12,326480,124519212
(주)STX,011810,2009/12,0,79549446
(주)STX,011810,2010/12,0,1128000
(주)STX,011810,2011/12,0,18000
(주)STX,011810,2012/12,0,0
(주)STX,011810,2013/12,0,0
(주)STX,011810,2014/12,0,0
(주)STX,011810,2015/12,0,0
(주)STX,011810,2016/12,0,0
(주)STX,011810,2017/12,0,0
(주)STX,011810,2018/12,0,0
(주)STX,011810,2019/12,0,0
(주)STX,011810,2020/12,0,0
(주)TCC스틸,002710,1985/03,0,
(주)TCC스틸,002710,1986/03,0,
(주)TCC스틸,002710,1987/03,0,
(주)TCC스틸,002710,1988/03,0,
(주)TCC스틸,002710,1989/03,0,
(주)TCC스틸,002710,1990/12,0,
(주)TCC스틸,002710,1991/12,0,
(주)TCC스틸,002710,1992/12,0,
(주)TCC스틸,002710,1993/12,0,
(주)TCC스틸,002710,1994/12,0,
(주)TCC스틸,002710,1995/12,0,
(주)TCC스틸,002710,1996/12,0,
(주)TCC스틸,002710,1997/12,0,
(주)TCC스틸,002710,1998/12,0,
(주)TCC스틸,002710,1999/12,0,
(주)TCC스틸,002710,2000/12,0,
(주)TCC스틸,002710,2001/12,0,
(주)TCC스틸,002710,2002/12,0,
(주)TCC스틸,002710,2003/12,0,
(주)TCC스틸,002710,2004/12,0,
(주)TCC스틸,002710,2005/12,800493,
(주)TCC스틸,002710,2006/12,357763,
(주)TCC스틸,002710,2007/12,0,2583409
(주)TCC스틸,002710,2008/12,0,451574
(주)TCC스틸,002710,2009/12,1924392,2805495
(주)TCC스틸,002710,2010/12,846106,15455478
(주)TCC스틸,002710,2011/12,0,13088215
(주)TCC스틸,002710,2012/12,0,14706945
(주)TCC스틸,002710,2013/12,0,15509082
(주)TCC스틸,002710,2014/12,0,14418603
(주)TCC스틸,002710,2015/12,0,4476536
(주)TCC스틸,002710,2016/12,0,2030282
(주)TCC스틸,002710,2017/12,0,7628468
(주)TCC스틸,002710,2018/12,0,7596213
(주)TCC스틸,002710,2019/12,0,7530138
(주)TCC스틸,002710,2020/12,0,7160348
(주)강원랜드,035250,2000/12,0,
(주)강원랜드,035250,2001/12,0,
(주)강원랜드,035250,2002/12,0,
(주)강원랜드,035250,2003/12,0,
(주)강원랜드,035250,2004/12,0,
(주)강원랜드,035250,2005/12,0,
(주)강원랜드,035250,2006/12,0,
(주)강원랜드,035250,2007/12,0,0
(주)강원랜드,035250,2008/12,0,0
(주)강원랜드,035250,2009/12,0,0
(주)강원랜드,035250,2010/12,0,0
(주)강원랜드,035250,2011/12,0,0
(주)강원랜드,035250,2012/12,0,0
(주)강원랜드,035250,2013/12,0,0
(주)강원랜드,035250,2014/12,0,0
(주)강원랜드,035250,2015/12,0,0
(주)강원랜드,035250,2016/12,0,0
(주)강원랜드,035250,2017/12,0,0
(주)강원랜드,035250,2018/12,0,0
(주)강원랜드,035250,2019/12,0,0
(주)강원랜드,035250,2020/12,0,0
(주)갤럭시아에스엠,011420,1985/12,0,
(주)갤럭시아에스엠,011420,1986/12,0,
(주)갤럭시아에스엠,011420,1987/12,0,
(주)갤럭시아에스엠,011420,1988/12,0,
(주)갤럭시아에스엠,011420,1989/12,0,
(주)갤럭시아에스엠,011420,1990/12,0,
(주)갤럭시아에스엠,011420,1991/12,0,
(주)갤럭시아에스엠,011420,1992/12,0,
(주)갤럭시아에스엠,011420,1993/12,0,
(주)갤럭시아에스엠,011420,1994/12,0,
(주)갤럭시아에스엠,011420,1995/12,0,
(주)갤럭시아에스엠,011420,1996/12,0,
(주)갤럭시아에스엠,011420,1997/12,0,
(주)갤럭시아에스엠,011420,1998/12,0,
(주)갤럭시아에스엠,011420,1999/12,0,
(주)갤럭시아에스엠,011420,2000/12,0,
(주)갤럭시아에스엠,011420,2001/12,0,
(주)갤럭시아에스엠,011420,2002/12,0,
(주)갤럭시아에스엠,011420,2003/12,0,
(주)갤럭시아에스엠,011420,2004/12,0,
(주)갤럭시아에스엠,011420,2005/12,0,
(주)갤럭시아에스엠,011420,2006/12,0,
(주)갤럭시아에스엠,011420,2007/12,0,0
(주)갤럭시아에스엠,011420,2008/12,0,0
(주)갤럭시아에스엠,011420,2009/12,0,0
(주)갤럭시아에스엠,011420,2010/12,0,0
(주)갤럭시아에스엠,011420,2011/12,0,0
