종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"181710","NHN","74900","-100","-0.13","75200","75500","74400","65141","4884817400","1465420372500","19565025"
"005940","NH투자증권","13150","-50","-0.38","13200","13250","13100","775348","10209819850","3700526864050","281408887"
"005945","NH투자증권우","11400","0","0.00","11400","11400","11300","96535","1094423750","215129035200","18870968"
"338100","NH프라임리츠","4930","70","1.44","4875","5040","4870","387491","1918641585","91993800000","18660000"
"034310","NICE","18350","-300","-1.61","18650","18900","18150","136287","2501331600","695140205000","37882300"
"008260","NI스틸","5480","0","0.00","5480","5520","5410","473221","2584293230","156728641160","28600117"
"004250","NPC","4235","20","0.47","4255","4255","4185","344616","1455432510","155509200000","36720000"
"004255","NPC우","2865","-5","-0.17","2870","2905","2865","16712","48036700","15127200000","5280000"
"010060","OCI","130500","-3000","-2.25","133500","133500","129000","622479","81535704500","3112342915500","23849371"
"005490","POSCO","346500","-6500","-1.84","349500","350500","345000","605595","210057662648","30210238327500","87186835"
"010950","S-Oil","103500","1000","0.98","103500","107000","103000","640017","67002178500","11652318972000","112582792"
"010955","S-Oil우","58500","1600","2.81","58100","58800","57600","46349","2706531800","235282729500","4021927"
"034120","SBS","44750","-650","-1.43","45350","45350","44500","123051","5508590350","816803044500","18252582"
"101060","SBS미디어홀딩스","2055","15","0.74","2045","2070","2040","592056","1216949440","287486670450","139896190"
"005090","SGC에너지","45900","-200","-0.43","46200","46850","45400","91079","4187440600","673674483600","14677004"
"001380","SG글로벌","4160","185","4.65","3980","4175","3980","1463896","6014836630","187050834880","44964143"
"004060","SG세계물산","821","42","5.39","786","834","779","8656091","7048885496","166190892160","202424960"
"002360","SH에너지화학","1255","65","5.46","1200","1270","1200","17127496","21284011220","139472831150","111133730"
"009160","SIMPAC","4270","-45","-1.04","4315","4315","4230","96276","410353345","279384033320","65429516"
"123700","SJM","5950","240","4.20","5710","5970","5710","371177","2168441230","92849143100","15604898"
"025530","SJM홀딩스","4825","65","1.37","4760","4850","4760","45198","217335780","72056588600","14934008"
"034730","SK","272000","1500","0.55","270000","274500","270000","192534","52411452000","19138000784000","70360297"
"011790","SKC","134000","500","0.37","133500","134000","131000","151443","20097560500","5074351932000","37868298"
"018670","SK가스","115000","-2000","-1.71","117000","118000","114000","25718","2976767000","1061478060000","9230244"
"001740","SK네트웍스","6030","-130","-2.11","6130","6160","5980","1455611","8808304360","1496571511410","248187647"
"001745","SK네트웍스우","127500","0","0.00","127500","127500","124500","355","44415000","14490120000","113648"
"006120","SK디스커버리","53500","0","0.00","53500","54100","53200","62003","3332215400","1018525242500","19037855"
"006125","SK디스커버리우","42400","-200","-0.47","42200","43100","41800","5599","237269150","57598492000","1358455"
"210980","SK디앤디","36150","50","0.14","36000","36500","35850","30926","1117139950","686494428600","18990164"
"068400","SK렌터카","14550","-350","-2.35","14950","15000","14150","454707","6569532650","688008972000","47285840"
"302440","SK바이오사이언스","155500","7500","5.07","152000","157000","150500","540654","83240810500","11895750000000","76500000"
"326030","SK바이오팜","113000","500","0.44","113000","114000","112000","218819","24731861000","8849397250000","78313250"
"361610","SK아이이테크놀로지","149500","0","0.00","149500","150500","148000","290369","43335120000","10658990004000","71297592"
"03473K","SK우","252500","2000","0.80","250500","252500","249500","2382","596457000","142949087500","566135"
"096770","SK이노베이션","272500","5500","2.06","267000","273500","266500","546886","148416291280","25196866190000","92465564"
"096775","SK이노베이션우","185000","1500","0.82","184000","186500","183500","12296","2275899500","230958810000","1248426"
"001510","SK증권","1065","30","2.90","1035","1070","1030","15335319","16117278370","503308532115","472590171"
"001515","SK증권우","5340","0","0.00","5340","5340","5310","16959","90314310","20892824760","3912514"
"285130","SK케미칼","259000","2500","0.97","257500","262000","257000","80132","20863445000","3043611564000","11751396"
"28513K","SK케미칼우","119000","1000","0.85","118000","121000","118000","7561","902396000","173581730000","1458670"
"017670","SK텔레콤","328500","-1500","-0.45","329500","332000","325000","253042","82851259000","23671756975500","72060143"
"000660","SK하이닉스","129000","3000","2.38","127000","130000","126500","3334148","429183153500","93912305085000","728002365"
"064960","SNT모티브","67300","900","1.36","67000","68100","66500","125714","8446355000","984137052800","14623136"
"100840","SNT에너지","20750","-250","-1.19","21050","21100","20550","56288","1166269850","155764253250","7506711"
"003570","SNT중공업","9340","80","0.86","9270","9430","9230","38515","361151180","310580189980","33252697"
"036530","SNT홀딩스","19600","50","0.26","19550","19700","19450","8673","169257900","319556165600","16303886"
"005610","SPC삼립","90300","-900","-0.99","91600","91900","89700","28627","2589323700","779199512700","8629009"
"011810","STX","9340","70","0.76","9270","9370","9060","126892","1173991720","187437922000","20068300"
"077970","STX엔진","14400","-500","-3.36","14750","14950","14400","213661","3113385750","331328217600","23008904"
"071970","STX중공업","7220","-80","-1.10","7370","7370","7040","602351","4319675680","204802346720","28365976"
"002820","SUN&L","6390","-30","-0.47","6450","6460","6190","27156","173557510","80565049710","12607989"
"084870","TBH글로벌","2260","70","3.20","2195","2260","2140","227178","500125850","47136410940","20856819"
"002710","TCC스틸","4705","5","0.11","4710","4725","4680","186551","875295390","110567500000","23500000"
"002900","TYM","1745","-10","-0.57","1725","1760","1705","3117685","5429746980","238851350925","136877565"
"024070","WISCOM","4825","370","8.31","4485","5140","4415","4612657","22412337390","73950063350","15326438"
"037270","YG PLUS","6210","150","2.48","6130","6410","6090","3527306","22117392140","393896636100","63429410"
"000500","가온전선","44600","5250","13.34","43000","48800","41750","3747020","167213340800","185551476200","4160347"
"000860","강남제비스코","29050","200","0.69","28900","29250","28850","10993","319283900","188825000000","6500000"
"035250","강원랜드","29100","-300","-1.02","29500","29550","28950","836555","24411526150","6225668550000","213940500"
"011420","갤럭시아에스엠","2380","20","0.85","2335","2380","2285","231274","536088145","65568152720","27549644"
"002100","경농","15700","-200","-1.26","15900","15950","15650","111966","1763004800","306504427500","19522575"
"009450","경동나비엔","62400","-1400","-2.19","63800","64400","62100","120734","7567678600","848935152000","13604730"
